N	FastICA_GaussianNB	FactorAnalysis_GaussianNB	PCA_GaussianNB	FastICA_KNeighborsClassifier	FactorAnalysis_KNeighborsClassifier
1	0.0560791589363	0.412100597815	0.231704803133	0.0426394557823	0.141414141414
2	0.0564961278548	0.0793140411166	0.0907587417936	0.162453187461	0.132743951189
3	0.130043930627	0.182639688441	0.212286444563	0.221965635739	0.188463917526
4	0.227970886017	0.295716688214	0.358200234027	0.262566666667	0.222028070175
5	0.320309215424	0.409362325419	0.460984382658	0.302953639418	0.249400223964
6	0.415522071621	0.454890230841	0.525385021715	0.333680164722	0.282977808282
7	0.505012922729	0.494590122557	0.582691366265	0.365580177653	0.308643291258
8	0.531956296136	0.506593015129	0.61340458359	0.382325848065	0.334331581462
9	0.576060413262	0.547206740423	0.639195759894	0.396463980464	0.34686984127
10	0.587305989714	0.576441178145	0.641949751163	0.42839650437	0.370376029963
11	0.589537563139	0.587348581402	0.662109306791	0.448157303371	0.389817160368
12	0.62559931544	0.585841210383	0.665481425585	0.461989550679	0.397799373041
13	0.62182879155	0.618920143942	0.685315819551	0.472832932371	0.413422079658
14	0.635878526426	0.607390506639	0.699971830091	0.486710807114	0.425969904241
15	0.644359067269	0.623408455515	0.702973758909	0.502593837535	0.428333893557
16	0.659373269344	0.637259651145	0.696795598293	0.509917383821	0.464391279403
17	0.679020238708	0.642430462644	0.70626973979	0.519335880106	0.453302380253
18	0.677122619884	0.659639377867	0.711834244637	0.532601023788	0.476711833785
19	0.6705528044	0.648397600195	0.712054961099	0.54145308642	0.483967901235
20	0.686630023982	0.657438707711	0.719286573115	0.551913924051	0.493201265823
21	0.692010013072	0.650028193292	0.719386798104	0.554339500162	0.479601428108
22	0.698122713303	0.671703759967	0.721395661541	0.565148185148	0.508322344322
23	0.697065023472	0.678425701928	0.724261162063	0.575096377307	0.511737525632
24	0.710890429899	0.66666059706	0.727899328776	0.578255438596	0.508244210526
25	0.722330890987	0.670707361026	0.735667758036	0.584053333333	0.502433153153
26	0.724117708024	0.685081474503	0.737630764617	0.595518696779	0.525445390596
27	0.722073745525	0.705915904661	0.738607894206	0.597535768645	0.546806697108
28	0.731293700185	0.700741657297	0.741860433438	0.602946791862	0.534266040689
29	0.727241383055	0.704960037601	0.746576413324	0.612579476861	0.540225352113
30	0.730103579833	0.705328003323	0.748230531039	0.60979047619	0.53936563147
31	0.726279372699	0.698880021376	0.745054800118	0.613641943734	0.54453026428
32	0.736253465499	0.700616306788	0.746048992	0.614071992976	0.535697980685
33	0.732978010882	0.703553203087	0.748397222425	0.613443690638	0.545009497965
34	0.735398439663	0.704251705905	0.749549953678	0.617288578089	0.547099300699
35	0.73740557501	0.703750193177	0.750122606681	0.623594230769	0.553273076923
36	0.736939014111	0.707295474316	0.753038850439	0.622958333333	0.559567460317
37	0.733753875073	0.709599013456	0.748142564793	0.626105478751	0.565661034306
38	0.73678944321	0.713948051985	0.749582055279	0.63155790587	0.573620306716
39	0.740952129473	0.711869333498	0.752233806682	0.634832786885	0.576721311475
40	0.737780600342	0.712095144014	0.755397041611	0.638883615819	0.573279096045
41	0.743980048535	0.725125494039	0.761717879484	0.640215078901	0.583668030392
42	0.749380314869	0.715760887546	0.765771249949	0.64146400484	0.580900181488
43	0.745718907397	0.715877388391	0.764706305382	0.645145363409	0.58198245614
44	0.748734413629	0.720229403067	0.768315034508	0.651098701299	0.5828
45	0.743459551715	0.723893439628	0.76595880711	0.654057912458	0.590787878788
46	0.755732947623	0.725255651209	0.767994214137	0.655502445842	0.595496855346
47	0.754214556161	0.725681503115	0.773236180499	0.65865892598	0.598870827286
48	0.757899060266	0.728820926243	0.776299057034	0.662416289593	0.601628959276
49	0.750820536242	0.728129722356	0.775889912946	0.658927058824	0.594287058824
50	0.757635225018	0.731974554359	0.77702773511	0.667467755102	0.607464489796
51	0.756862437583	0.735256118178	0.775794284248	0.671629251701	0.607612244898
52	0.758086267575	0.732120861801	0.776211531405	0.672627659574	0.608106382979
53	0.769526574787	0.736268069392	0.778347453085	0.673491211841	0.607944495837
54	0.768093677903	0.734510806604	0.780925556568	0.676142995169	0.609855072464
55	0.774361224735	0.738418981605	0.783026945696	0.680501010101	0.617353535354
56	0.78137000019	0.732832181399	0.789047608728	0.685610993658	0.623957716702
57	0.787391711776	0.742424143593	0.791761591509	0.687782945736	0.625240310078
58	0.775711779918	0.740446639632	0.792874397317	0.690819976771	0.625858304297
59	0.785903732503	0.742476832539	0.795661577646	0.691863414634	0.627643902439
60	0.777860947589	0.744091809111	0.79733897205	0.692953846154	0.631348717949
61	0.79728885242	0.740888049509	0.800485883643	0.696367071525	0.625371120108
62	0.791898756588	0.743243306905	0.79856911522	0.693007112376	0.632142247511
63	0.788368707473	0.741959506653	0.797330259893	0.693141141141	0.631921921922
64	0.78816643137	0.748016748181	0.798567991967	0.704838095238	0.637707936508
