N	FastICA_GaussianNB	FactorAnalysis_GaussianNB	PCA_GaussianNB	FastICA_KNeighborsClassifier	FactorAnalysis_KNeighborsClassifier
1	0.029898989899	0.412100597815	0.231704803133	0.0428983714698	0.141414141414
2	0.048539854487	0.0793140411166	0.0907587417936	0.162453187461	0.132743951189
3	0.120694869249	0.182639688441	0.212286444563	0.221965635739	0.188463917526
4	0.219856853565	0.295716688214	0.358200234027	0.262566666667	0.222028070175
5	0.335522350048	0.409362325419	0.460984382658	0.302953639418	0.249400223964
6	0.443850905466	0.454890230841	0.525385021715	0.333509951956	0.282977808282
7	0.50702863652	0.494590122557	0.582691366265	0.365666199158	0.308643291258
8	0.52391977139	0.506593015129	0.61340458359	0.382238891543	0.334331581462
9	0.567579236845	0.547206740423	0.639195759894	0.396376068376	0.34686984127
10	0.574784116735	0.576441178145	0.641949751163	0.428663171036	0.370376029963
11	0.608122591985	0.587348581402	0.662109306791	0.448157303371	0.389817160368
12	0.619709095173	0.585841210383	0.665481425585	0.461898641588	0.397799373041
13	0.625306075071	0.618920143942	0.685315819551	0.473292702486	0.413422079658
14	0.637788425622	0.607390506639	0.699971830091	0.48633871409	0.425969904241
15	0.660840431472	0.623408455515	0.702973758909	0.502217366947	0.428333893557
16	0.650672508938	0.637259651145	0.696795598293	0.509822145726	0.464391279403
17	0.663294822678	0.642430462644	0.70626973979	0.519432265648	0.453302380253
18	0.67319761661	0.659639377867	0.711834244637	0.532698584764	0.476711833785
19	0.670333587285	0.648397600195	0.712054961099	0.54145308642	0.483967901235
20	0.679295426827	0.657438707711	0.719286573115	0.551513924051	0.493201265823
21	0.690464726986	0.650028193292	0.719386798104	0.55423823434	0.479601428108
22	0.693984994393	0.671703759967	0.721395661541	0.565045621046	0.508322344322
23	0.711425968007	0.678425701928	0.724261162063	0.575304169515	0.511737525632
24	0.712193996919	0.66666059706	0.727899328776	0.578465964912	0.508244210526
25	0.726166917421	0.670707361026	0.735667758036	0.583946666667	0.502433153153
26	0.719972556217	0.685081474503	0.737630764617	0.595410588671	0.525445390596
27	0.725475739264	0.705915904661	0.738607894206	0.597864535769	0.546806697108
28	0.729823161469	0.700741657297	0.741860433438	0.603057902973	0.534266040689
29	0.726707815925	0.704960037601	0.746576413324	0.612241448692	0.540225352113
30	0.735385719676	0.705328003323	0.748230531039	0.609676190476	0.53936563147
31	0.734331683416	0.698880021376	0.745054800118	0.613641943734	0.54453026428
32	0.729659316613	0.700616306788	0.746048992	0.614071992976	0.535697980685
33	0.732205428234	0.703553203087	0.748397222425	0.613563093623	0.545009497965
34	0.738123675167	0.704251705905	0.749549953678	0.617773426573	0.547099300699
35	0.736448960091	0.703750193177	0.750122606681	0.623963461538	0.553273076923
36	0.739800622951	0.707295474316	0.753038850439	0.622958333333	0.559567460317
37	0.745401759508	0.709599013456	0.748142564793	0.626105478751	0.565661034306
38	0.739108879355	0.713948051985	0.749582055279	0.631428873612	0.573620306716
39	0.741180160302	0.711869333498	0.752233806682	0.634832786885	0.576721311475
40	0.740312676392	0.712095144014	0.755397041611	0.638616949153	0.573279096045
41	0.749023434459	0.725125494039	0.761717879484	0.640079485681	0.583668030392
42	0.739829742176	0.715760887546	0.765771249949	0.641188142771	0.580900181488
43	0.741625844359	0.715877388391	0.764706305382	0.644724310777	0.58198245614
44	0.750008286323	0.720229403067	0.768315034508	0.650955844156	0.5828
45	0.741014942288	0.723893439628	0.76595880711	0.654203367003	0.590787878788
46	0.75418932222	0.725255651209	0.767994214137	0.655058001398	0.595496855346
47	0.763399788128	0.725681503115	0.773236180499	0.658960812772	0.598870827286
48	0.757589269469	0.728820926243	0.776299057034	0.662108597285	0.601628959276
49	0.752140855704	0.728129722356	0.775889912946	0.659240784314	0.594287058824
50	0.76375136329	0.731974554359	0.77702773511	0.667627755102	0.607464489796
51	0.759222915934	0.735256118178	0.775794284248	0.671792517007	0.607612244898
52	0.762576491066	0.732120861801	0.776211531405	0.672294326241	0.608106382979
53	0.769450236122	0.736268069392	0.778347453085	0.672980573543	0.607944495837
54	0.778092500509	0.734510806604	0.780925556568	0.6766647343	0.609855072464
55	0.781415625509	0.738418981605	0.783026945696	0.681212121212	0.617353535354
56	0.772758574533	0.732832181399	0.789047608728	0.685610993658	0.623957716702
57	0.777961790971	0.742424143593	0.791761591509	0.687968992248	0.625240310078
58	0.782723486302	0.740446639632	0.792874397317	0.690629500581	0.625858304297
59	0.787033614136	0.742476832539	0.795661577646	0.691668292683	0.627643902439
60	0.785514897899	0.744091809111	0.79733897205	0.692953846154	0.631348717949
61	0.795639665481	0.740888049509	0.800485883643	0.69616194332	0.625371120108
62	0.793848936602	0.743243306905	0.79856911522	0.693007112376	0.632142247511
63	0.791932641014	0.741959506653	0.797330259893	0.693357357357	0.631921921922
64	0.796049712801	0.748016748181	0.798567991967	0.704615873016	0.637707936508
